what,kind,bundleId,bundleVersion,description,time
error,log,,,"Could not create content describer for org.eclipse.pde.ctxHelpFile. Content type has been disabled.",1500440900615
error,log,,,"Could not create content describer for org.eclipse.pde.ds.core.content-type. Content type has been disabled.",1500440900617
error,log,,,"Could not create content describer for org.eclipse.pde.simpleCheatSheet. Content type has been disabled.",1500440900618
error,log,,,"Could not create content describer for org.eclipse.pde.tocFile. Content type has been disabled.",1500440900619
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1500440900627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1500440909228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1500440930316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1500440939918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500440942982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500440944247
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1500441235780
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1500441239879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500441242650
activated,editor,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.core.dtdsource.source",1500441244580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500441244598
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1500441251119
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1500441251832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500441252673
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1500441255768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500441255791
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500441284491
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500441284699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500441284939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500441285187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500441285395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500441285571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1500441288398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1500441304089
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1500441316311
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1500441408125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500441408133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500441416911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1500441481761
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1500441486347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1500441506979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500441509147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500441510840
